	action selection	aesthetic evaluation	animacy decision	animacy perception	appetitive motivation	appetitive reward	auditory sentence comprehension	auditory tone detection	auditory tone discrimination	auditory word comprehension	body maintenance	calculation	categorization	causal inference	color recognition	computation	confidence judgment	decision certainty	economic value processing	emotional face recognition	emotional reappraisal	emotional salience priming	emotional self-evaluation	error detection	face maintenance	face perception	facial emotion recognition	feature comparison	feedback	graded decision making	language processing	language processing (neg.)	loss anticipation	motion detection	motor execution	motor response	negative emotion	negative feedback processing	negative social feedback	novelty detection	number processing	numerical scale judgment	object maintenance	object-based attention	oddball detection	pattern maintenance	place maintenance	positive feedback processing	positive social feedback	potential monetary loss	potential monetary reward	proactive control	punishment	reading	reinforcement learning	relational comparison	resistance to distractor interference	response conflict	response execution	response inhibition	response selection	reward anticipation	risk aversion	risk processing	risk seeking	selective control	semantic categorization	social judgment	spatial attention	spatial selective attention	string maintenance	task difficulty	theory of mind	tool maintenance	trait anxiety	updating	value judgement	vision face recognition	vision form recognition	visual body recognition	visual color discrimination	visual face recognition	visual form discrimination	visual form recognition	visual number recognition	visual object detection	visual object recognition	visual pattern recognition	visual place recognition	visual recognition	visual scene recognition	visual string recognition	visual tool recognition	visual word recognition	word maintenance	files	image_id
Probabilistic Classification Task :: positive feedback	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	http://neurovault.org/media/images/44/task001_cope01_positive%20feedback.nii.gz	173
Probabilistic Classification Task :: negative feedback	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	http://neurovault.org/media/images/44/task001_cope02_negative%20feedback.nii.gz	172
Eriksen flanker task :: congruent correct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/45/task001_cope01_congruent_correct.nii.gz	183
Eriksen flanker task :: incorrect minus correct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/45/task001_cope08_incorrect_vs_correct.nii.gz	177
Eriksen flanker task :: incongruent minus congruent correct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/45/task001_cope09_incongruent_vs_congruent_correct.nii.gz	178
Simon Task :: incorrect minus correct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/99/task001_cope08_incorrect_vs_correct.nii.gz	468
Simon Task :: incongruent minus congruent correct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/99/task001_cope09_incongruent_vs_congruent_correct.nii.gz	469
Simon Task :: congruent correct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/99/task001_cope01_congruent_correct.nii.gz	474
oddball task :: auditory standard	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/417/model001_task001_cope007_tstat1.nii.gz	2723
oddball task :: auditory targets minus standards	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/417/model001_task001_cope008_tstat1.nii.gz	2729
oddball task :: visual targets minus standards	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/417/model001_task002_cope005_tstat1.nii.gz	2731
oddball task :: visual standard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/417/model001_task002_cope006_tstat1.nii.gz	2718
cue approach task :: high value go minus no go at probe	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/35/Fig3B_zstat1.nii.gz	110
cue approach task :: no go last scan training run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/35/Fig4B_zstat1.nii.gz	112
cue approach task :: high value go choice at probe	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/35/Fig3A_zstat1_2.nii.gz	111
cue approach task :: go last scan training run	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/35/Fig4A_zstat1.nii.gz	113
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: right audio click	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/right_button_press_auditory_cue_1.nii.gz	394
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: checkerboard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/checkerboard_1.nii.gz	395
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: horizontal checkerboard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/horizontal_checkerboard_1.nii.gz	396
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: sentences	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/sentence_listening_or_reading_1.nii.gz	398
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: audio click minus audio sentences	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/button_press_auditory_cue_vs_sentence_listening_1.nii.gz	399
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: visual click minus video sentences	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/button_press_visual_cue_vs_sentence_reading_1.nii.gz	400
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: left video click	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/left_button_press_visual_cue_1.nii.gz	401
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: Calculation visual cue and sentence reading minus chckerboard	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/calculation_visual_cue_and_sentence_reading_vs_checkerboard_1.nii.gz	402
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: left click minus right click	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/left_vs_right_button_press_1.nii.gz	403
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: horizontal checkerboard minus vertical checkerboard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/horizontal_vs_vertical_checkerboard_1.nii.gz	404
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: video sentences minus checkerboard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/sentence_reading_vs_checkerboard_1.nii.gz	405
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: left click	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/left_button_press_1.nii.gz	406
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: right video click	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/right_button_press_visua_cue).nii.gz	407
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: computation	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/calculation_1.nii.gz	410
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: audio sentences	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/sentence_listening_1.nii.gz	412
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: video computation minus video sentences	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/calculation_visual_cue_vs_sentence_reading_1.nii.gz	414
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: audio computation	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/calculation_auditory_cue_1.nii.gz	415
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: vertical checkerboard minus horizontal checkerboard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/vertical_vs_horizontal_checkerboard_1.nii.gz	416
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: computation minus sentences	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/calculation_vs_sentences_1.nii.gz	417
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: video computation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/calculation_visual_cue_1.nii.gz	418
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: video sentences	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/sentence_reading_1.nii.gz	419
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: left audio click	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/left_button_press_auditory_cue_1.nii.gz	420
Functional Localizer fMRI Tasks: http://www.cognitiveatlas.org/term/id/trm_553e85265f51e :: vertical checkerboard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	http://neurovault.org/media/images/94/vertical_checkerboard_1.nii.gz	421
social judgment of faces task :: Happiness judgments on faces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/110/beta_0003.nii.gz	564
social judgment of faces task :: Age judgments on faces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/110/beta_0001.nii.gz	561
social judgment of faces task :: Left motor response	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/110/beta_0005.nii.gz	565
social judgment of faces task :: Attractiveness judgments on faces	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/110/beta_0002.nii.gz	562
social judgment of faces task :: Trustworthiness judgments on faces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/110/beta_0004.nii.gz	563
social judgment of faces task :: Right motor response	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/110/beta_0006.nii.gz	566
why/how task: http://www.cognitiveatlas.org/term/id/trm_53c4465b0466f :: Why_Face > How_Face	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/297/Tmap_Why_Face_-_How_Face.nii.gz	1583
why/how task: http://www.cognitiveatlas.org/term/id/trm_53c4465b0466f :: Why_Hand > How_Hand	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/297/Tmap_Why_Hand_-_How_Hand.nii.gz	1584
why/how task: http://www.cognitiveatlas.org/term/id/trm_53c4465b0466f :: Why_Nonsocial > How_Nonsocial	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/297/Tmap_Why_Nonsocial_-_How_Nonsocial.nii.gz	1585
why/how task: http://www.cognitiveatlas.org/term/id/trm_53c4465b0466f :: [Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/297/Tmap_Why_FaceHow_Nonsocial_-_Why_NonsocialHow_Face.nii.gz	1586
why/how task: http://www.cognitiveatlas.org/term/id/trm_53c4465b0466f :: [Why_Hand > How_HAnd] > [Why_Nonsocial > How_Nonsocial]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/297/Tmap_Why_HandHow_Nonsocial_-_Why_NonsocialHow_Hand.nii.gz	1587
